name,car_sales_num,category,year-month
スズキ,48754,all,2020-07-01
ダイハツ,52835,all,2020-07-01
三菱,3182,all,2020-07-01
スバル,1987,all,2020-07-01
ホンダ,26783,all,2020-07-01
マツダ,3430,all,2020-07-01
日産,17024,all,2020-07-01
トヨタ,2991,all,2020-07-01
その他,5,all,2020-07-01
合計,156991,all,2020-07-01
スズキ,38417,passenger,2020-07-01
ダイハツ,40148,passenger,2020-07-01
三菱,2387,passenger,2020-07-01
スバル,1349,passenger,2020-07-01
ホンダ,22685,passenger,2020-07-01
マツダ,2705,passenger,2020-07-01
日産,13844,passenger,2020-07-01
トヨタ,1758,passenger,2020-07-01
その他,5,passenger,2020-07-01
合計,123298,passenger,2020-07-01
スズキ,10337,cargo,2020-07-01
ダイハツ,12687,cargo,2020-07-01
三菱,795,cargo,2020-07-01
スバル,638,cargo,2020-07-01
ホンダ,4098,cargo,2020-07-01
マツダ,725,cargo,2020-07-01
日産,3180,cargo,2020-07-01
トヨタ,1233,cargo,2020-07-01
その他,,cargo,2020-07-01
合計,33693,cargo,2020-07-01
スズキ,383,ban,2020-07-01
ダイハツ,53,ban,2020-07-01
三菱,,ban,2020-07-01
スバル,,ban,2020-07-01
ホンダ,2489,ban,2020-07-01
マツダ,,ban,2020-07-01
日産,,ban,2020-07-01
トヨタ,,ban,2020-07-01
その他,,ban,2020-07-01
合計,2925,ban,2020-07-01
スズキ,5353,camp,2020-07-01
ダイハツ,5999,camp,2020-07-01
三菱,521,camp,2020-07-01
スバル,279,camp,2020-07-01
ホンダ,1,camp,2020-07-01
マツダ,520,camp,2020-07-01
日産,2126,camp,2020-07-01
トヨタ,781,camp,2020-07-01
その他,,camp,2020-07-01
合計,15580,camp,2020-07-01
スズキ,4601,track,2020-07-01
ダイハツ,6635,track,2020-07-01
三菱,274,track,2020-07-01
スバル,359,track,2020-07-01
ホンダ,1608,track,2020-07-01
マツダ,205,track,2020-07-01
日産,1054,track,2020-07-01
トヨタ,452,track,2020-07-01
その他,,track,2020-07-01
合計,15188,track,2020-07-01
スズキ,35152,all,2022-05-01
ダイハツ,31639,all,2022-05-01
三菱,2758,all,2022-05-01
スバル,1326,all,2022-05-01
ホンダ,13668,all,2022-05-01
マツダ,2293,all,2022-05-01
日産,11025,all,2022-05-01
トヨタ,2216,all,2022-05-01
その他,2,all,2022-05-01
合計,100079,all,2022-05-01
スズキ,27982,passenger,2022-05-01
ダイハツ,20283,passenger,2022-05-01
三菱,2226,passenger,2022-05-01
スバル,752,passenger,2022-05-01
ホンダ,11948,passenger,2022-05-01
マツダ,1930,passenger,2022-05-01
日産,8754,passenger,2022-05-01
トヨタ,1574,passenger,2022-05-01
その他,2,passenger,2022-05-01
合計,75451,passenger,2022-05-01
スズキ,7170,cargo,2022-05-01
ダイハツ,11356,cargo,2022-05-01
三菱,532,cargo,2022-05-01
スバル,574,cargo,2022-05-01
ホンダ,1720,cargo,2022-05-01
マツダ,363,cargo,2022-05-01
日産,2271,cargo,2022-05-01
トヨタ,642,cargo,2022-05-01
その他,,cargo,2022-05-01
合計,24628,cargo,2022-05-01
スズキ,10,ban,2022-05-01
ダイハツ,,ban,2022-05-01
三菱,,ban,2022-05-01
スバル,,ban,2022-05-01
ホンダ,1649,ban,2022-05-01
マツダ,,ban,2022-05-01
日産,,ban,2022-05-01
トヨタ,,ban,2022-05-01
その他,,ban,2022-05-01
合計,1659,ban,2022-05-01
スズキ,3743,camp,2022-05-01
ダイハツ,5934,camp,2022-05-01
三菱,283,camp,2022-05-01
スバル,245,camp,2022-05-01
ホンダ,,camp,2022-05-01
マツダ,251,camp,2022-05-01
日産,1755,camp,2022-05-01
トヨタ,394,camp,2022-05-01
その他,,camp,2022-05-01
合計,12605,camp,2022-05-01
スズキ,3417,track,2022-05-01
ダイハツ,5422,track,2022-05-01
三菱,249,track,2022-05-01
スバル,329,track,2022-05-01
ホンダ,71,track,2022-05-01
マツダ,112,track,2022-05-01
日産,516,track,2022-05-01
トヨタ,248,track,2022-05-01
その他,,track,2022-05-01
合計,10364,track,2022-05-01
スズキ,48401,all,2022-11-01
ダイハツ,56753,all,2022-11-01
三菱,3502,all,2022-11-01
スバル,1633,all,2022-11-01
ホンダ,25655,all,2022-11-01
マツダ,2832,all,2022-11-01
日産,14766,all,2022-11-01
トヨタ,1985,all,2022-11-01
その他,11,all,2022-11-01
合計,155538,all,2022-11-01
スズキ,35841,passenger,2022-11-01
ダイハツ,38462,passenger,2022-11-01
三菱,2423,passenger,2022-11-01
スバル,828,passenger,2022-11-01
